Surname        Name           ND1  ND2  ND3  ND4  ND5  Exam     
Surname1       Name1          6    8    4    10   1    6        
Surname2       Name2          9    6    10   10   2    7        
Surname3       Name3          4    6    8    8    3    1        
Surname4       Name4          6    4    4    6    3    1        
Surname5       Name5          2    10   10   1    7    8        
Surname6       Name6          5    4    1    4    1    5        
Surname7       Name7          9    10   3    7    10   6        
Surname8       Name8          9    1    6    3    9    8        
Surname9       Name9          1    8    3    5    4    3        
Surname10      Name10         10   9    5    8    10   9        
Surname11      Name11         8    4    8    7    2    7        
Surname12      Name12         5    1    7    8    7    9        
Surname13      Name13         9    2    6    1    4    5        
Surname14      Name14         4    1    5    7    6    7        
Surname15      Name15         7    8    6    5    4    8        
Surname16      Name16         10   8    6    10   4    2        
Surname17      Name17         5    5    2    9    7    6        
Surname18      Name18         4    4    2    8    1    5        
Surname19      Name19         2    6    9    8    7    2        
Surname20      Name20         9    2    2    8    9    5        
Surname21      Name21         3    3    1    9    4    4        
Surname22      Name22         5    9    9    10   4    8        
Surname23      Name23         5    4    3    5    2    2        
Surname24      Name24         4    5    8    6    3    9        
Surname25      Name25         5    8    4    4    10   10       
Surname26      Name26         8    6    2    2    1    4        
Surname27      Name27         6    8    6    6    5    9        
Surname28      Name28         5    4    1    8    2    3        
Surname29      Name29         10   5    2    3    5    4        
Surname30      Name30         5    2    1    8    6    6        
Surname31      Name31         8    9    5    8    5    10       
Surname32      Name32         7    10   1    10   5    9        
Surname33      Name33         3    8    10   9    9    4        
Surname34      Name34         10   4    2    1    3    9        
Surname35      Name35         1    7    5    7    3    7        
Surname36      Name36         9    4    7    6    10   4        
Surname37      Name37         9    8    1    9    1    6        
Surname38      Name38         4    1    7    3    2    2        
Surname39      Name39         5    4    5    3    9    3        
Surname40      Name40         5    4    3    4    2    6        
Surname41      Name41         7    9    7    8    5    3        
Surname42      Name42         10   4    1    10   5    4        
Surname43      Name43         6    4    4    3    4    8        
Surname44      Name44         5    9    5    5    7    5        
Surname45      Name45         2    6    8    4    1    1        
Surname46      Name46         6    2    8    3    8    9        
Surname47      Name47         9    10   2    6    9    4        
Surname48      Name48         10   10   8    7    6    2        
