Surname        Name           ND1  ND2  ND3  ND4  ND5  Exam     
Surname1       Name1          6    8    4    10   1    6        
Surname2       Name2          9    6    10   10   2    7        
Surname3       Name3          4    6    8    8    3    1        
Surname4       Name4          6    4    4    6    3    1        
Surname5       Name5          2    10   10   1    7    8        
Surname6       Name6          5    4    1    4    1    5        
Surname7       Name7          9    10   3    7    10   6        
Surname8       Name8          9    1    6    3    9    8        
Surname9       Name9          1    8    3    5    4    3        
Surname10      Name10         10   9    5    8    10   9        
Surname11      Name11         8    4    8    7    2    7        
Surname12      Name12         5    1    7    8    7    9        
Surname13      Name13         9    2    6    1    4    5        
Surname14      Name14         4    1    5    7    6    7        
Surname15      Name15         7    8    6    5    4    8        
Surname16      Name16         10   8    6    10   4    2        
Surname17      Name17         5    5    2    9    7    6        
Surname18      Name18         4    4    2    8    1    5        
Surname19      Name19         2    6    9    8    7    2        
Surname20      Name20         9    2    2    8    9    5        
Surname21      Name21         3    3    1    9    4    4        
Surname22      Name22         5    9    9    10   4    8        
Surname23      Name23         5    4    3    5    2    2        
Surname24      Name24         4    5    8    6    3    9        
Surname25      Name25         5    8    4    4    10   10       
Surname26      Name26         8    6    2    2    1    4        
Surname27      Name27         6    8    6    6    5    9        
Surname28      Name28         5    4    1    8    2    3        
Surname29      Name29         10   5    2    3    5    4        
Surname30      Name30         5    2    1    8    6    6        
Surname31      Name31         8    9    5    8    5    10       
Surname32      Name32         7    10   1    10   5    9        
Surname33      Name33         3    8    10   9    9    4        
Surname34      Name34         10   4    2    1    3    9        
Surname35      Name35         1    7    5    7    3    7        
Surname36      Name36         9    4    7    6    10   4        
Surname37      Name37         9    8    1    9    1    6        
Surname38      Name38         4    1    7    3    2    2        
Surname39      Name39         5    4    5    3    9    3        
Surname40      Name40         5    4    3    4    2    6        
Surname41      Name41         7    9    7    8    5    3        
Surname42      Name42         10   4    1    10   5    4        
Surname43      Name43         6    4    4    3    4    8        
Surname44      Name44         5    9    5    5    7    5        
Surname45      Name45         2    6    8    4    1    1        
Surname46      Name46         6    2    8    3    8    9        
Surname47      Name47         9    10   2    6    9    4        
Surname48      Name48         10   10   8    7    6    2        
Surname49      Name49         6    3    9    4    1    8        
Surname50      Name50         4    8    6    7    1    8        
Surname51      Name51         1    4    5    10   2    9        
Surname52      Name52         7    6    9    1    8    7        
Surname53      Name53         1    4    8    8    4    2        
Surname54      Name54         2    2    2    10   4    4        
Surname55      Name55         2    5    3    10   4    1        
Surname56      Name56         5    2    4    5    9    4        
Surname57      Name57         8    9    5    8    7    5        
Surname58      Name58         7    4    8    7    9    6        
Surname59      Name59         1    2    4    5    2    8        
Surname60      Name60         10   4    3    7    7    10       
Surname61      Name61         7    3    10   5    6    5        
Surname62      Name62         8    2    5    10   4    1        
Surname63      Name63         1    7    8    7    6    3        
Surname64      Name64         10   6    5    4    4    6        
Surname65      Name65         10   3    4    4    6    9        
Surname66      Name66         2    2    9    4    2    2        
Surname67      Name67         9    8    5    4    10   3        
Surname68      Name68         9    5    4    4    8    1        
Surname69      Name69         5    4    8    4    1    5        
Surname70      Name70         3    5    4    6    10   8        
Surname71      Name71         2    9    1    6    4    3        
Surname72      Name72         6    9    1    9    3    10       
Surname73      Name73         4    4    2    7    2    10       
Surname74      Name74         7    6    10   7    8    1        
Surname75      Name75         9    10   1    1    9    1        
Surname76      Name76         6    6    3    8    9    1        
Surname77      Name77         6    10   8    10   6    3        
Surname78      Name78         9    5    1    10   2    4        
Surname79      Name79         9    10   7    10   6    4        
Surname80      Name80         8    7    9    5    6    4        
Surname81      Name81         2    1    5    2    4    10       
Surname82      Name82         6    6    10   7    6    4        
Surname83      Name83         10   5    8    7    7    3        
Surname84      Name84         2    8    2    2    3    1        
Surname85      Name85         9    7    1    9    5    2        
Surname86      Name86         2    3    9    2    5    8        
Surname87      Name87         1    7    4    6    1    3        
Surname88      Name88         4    3    7    1    3    6        
Surname89      Name89         6    8    10   7    6    3        
Surname90      Name90         3    7    7    6    5    6        
Surname91      Name91         6    3    3    5    5    5        
Surname92      Name92         8    9    6    8    9    4        
Surname93      Name93         2    6    6    4    10   1        
Surname94      Name94         1    9    7    2    1    6        
Surname95      Name95         7    2    2    1    5    8        
Surname96      Name96         10   9    6    5    10   10       
Surname97      Name97         7    10   9    6    2    2        
Surname98      Name98         7    8    2    8    5    4        
Surname99      Name99         9    10   4    1    10   1        
Surname100     Name100        8    7    4    2    8    6        
