Name        Surname  Final-Average       Finale-Median      Category    
Surname1    Name1    5.92                6.00               kietiakas   
Surname10   Name10   8.76                9.00               kietiakas   
Name100     Name100  6.00                6.00               kietiakas   
Surname100  Name100  5.92                6.40               kietiakas   
Surname11   Name11   6.52                7.00               kietiakas   
Surname12   Name12   7.64                8.20               kietiakas   
Surname13   Name13   4.76                4.60               vargsiukas  
Surname14   Name14   6.04                6.20               kietiakas   
Surname15   Name15   7.20                7.20               kietiakas   
Surname16   Name16   4.24                4.40               vargsiukas  
Surname17   Name17   5.84                5.60               kietiakas   
Surname18   Name18   4.52                4.60               vargsiukas  
Surname19   Name19   3.76                4.00               vargsiukas  
Surname2    Name2    7.16                7.80               kietiakas   
Surname20   Name20   5.40                6.20               kietiakas   
Surname21   Name21   4.00                3.60               vargsiukas  
Surname22   Name22   7.76                8.40               kietiakas   
Surname23   Name23   2.72                2.80               vargsiukas  
Surname24   Name24   7.48                7.40               kietiakas   
Surname25   Name25   8.48                8.00               kietiakas   
Surname26   Name26   3.92                3.20               vargsiukas  
Surname27   Name27   7.88                7.80               kietiakas   
Surname28   Name28   3.40                3.40               vargsiukas  
Surname29   Name29   4.40                4.40               vargsiukas  
Surname3    Name3    2.92                3.00               vargsiukas  
Surname30   Name30   5.36                5.60               kietiakas   
Surname31   Name31   8.80                9.20               kietiakas   
Surname32   Name32   8.04                8.20               kietiakas   
Surname33   Name33   5.52                6.00               kietiakas   
Surname34   Name34   7.00                6.60               kietiakas   
Surname35   Name35   6.04                6.20               kietiakas   
Surname36   Name36   5.28                5.20               kietiakas   
Surname37   Name37   5.84                6.80               kietiakas   
Surname38   Name38   2.56                2.40               vargsiukas  
Surname39   Name39   3.88                3.80               vargsiukas  
Surname4    Name4    2.44                2.20               vargsiukas  
Surname40   Name40   5.04                5.20               kietiakas   
Surname41   Name41   4.68                4.60               vargsiukas  
Surname42   Name42   4.80                4.40               vargsiukas  
Surname43   Name43   6.48                6.40               kietiakas   
Surname44   Name44   5.48                5.00               kietiakas   
Surname45   Name45   2.28                2.20               vargsiukas  
Surname46   Name46   7.56                7.80               kietiakas   
Surname47   Name47   5.28                6.00               kietiakas   
Surname48   Name48   4.48                4.40               vargsiukas  
Surname49   Name49   6.64                6.40               kietiakas   
Surname5    Name5    7.20                7.60               kietiakas   
Surname50   Name50   6.88                7.20               kietiakas   
Surname51   Name51   7.16                7.00               kietiakas   
Surname52   Name52   6.68                7.00               kietiakas   
Surname53   Name53   3.20                2.80               vargsiukas  
Surname54   Name54   4.00                3.20               vargsiukas  
Surname55   Name55   2.52                2.20               vargsiukas  
Surname56   Name56   4.40                4.40               vargsiukas  
Surname57   Name57   5.96                6.20               kietiakas   
Surname58   Name58   6.40                6.40               kietiakas   
Surname59   Name59   5.92                5.60               kietiakas   
Surname6    Name6    4.20                4.60               vargsiukas  
Surname60   Name60   8.48                8.80               kietiakas   
Surname61   Name61   5.48                5.40               kietiakas   
Surname62   Name62   2.92                2.60               vargsiukas  
Surname63   Name63   4.12                4.60               vargsiukas  
Surname64   Name64   5.92                5.60               kietiakas   
Surname65   Name65   7.56                7.00               kietiakas   
Surname66   Name66   2.72                2.00               vargsiukas  
Surname67   Name67   4.68                5.00               vargsiukas  
Surname68   Name68   3.00                2.60               vargsiukas  
Surname69   Name69   4.76                4.60               vargsiukas  
Surname7    Name7    6.72                7.20               kietiakas   
Surname70   Name70   7.04                6.80               kietiakas   
Surname71   Name71   3.56                3.40               vargsiukas  
Surname72   Name72   8.24                8.40               kietiakas   
Surname73   Name73   7.52                7.60               kietiakas   
Surname74   Name74   3.64                3.40               vargsiukas  
Surname75   Name75   3.00                4.20               vargsiukas  
Surname76   Name76   3.16                3.00               vargsiukas  
Surname77   Name77   5.00                5.00               kietiakas   
Surname78   Name78   4.56                4.40               vargsiukas  
Surname79   Name79   5.76                6.00               kietiakas   
Surname8    Name8    7.04                7.20               kietiakas   
Surname80   Name80   5.20                5.20               kietiakas   
Surname81   Name81   7.12                6.80               kietiakas   
Surname82   Name82   5.20                4.80               kietiakas   
Surname83   Name83   4.76                4.60               vargsiukas  
Surname84   Name84   1.96                1.40               vargsiukas  
Surname85   Name85   3.68                4.00               vargsiukas  
Surname86   Name86   6.48                6.00               kietiakas   
Surname87   Name87   3.32                3.40               vargsiukas  
Surname88   Name88   5.04                4.80               kietiakas   
Surname89   Name89   4.76                4.60               vargsiukas  
Surname9    Name9    3.48                3.40               vargsiukas  
Surname90   Name90   5.84                6.00               kietiakas   
Surname91   Name91   4.76                5.00               vargsiukas  
Surname92   Name92   5.60                5.60               kietiakas   
Surname93   Name93   2.84                3.00               vargsiukas  
Surname94   Name94   5.20                4.40               kietiakas   
Surname95   Name95   6.16                5.60               kietiakas   
Surname96   Name96   9.20                9.60               kietiakas   
Surname97   Name97   3.92                4.00               vargsiukas  
Surname98   Name98   4.80                5.20               vargsiukas  
