Name         Surname   Final-Average       Finale-Median      Category    
Surname1     Name1     5.92                6.00               kietiakas   
Surname10    Name10    8.76                9.00               kietiakas   
Surname100   Name100   5.92                6.40               kietiakas   
Surname1000  Name1000  7.12                7.20               kietiakas   
Name1000     Name1000  8.00                8.00               kietiakas   
Surname101   Name101   5.76                6.00               kietiakas   
Surname102   Name102   6.88                6.80               kietiakas   
Surname103   Name103   7.72                8.20               kietiakas   
Surname104   Name104   3.12                3.20               vargsiukas  
Surname105   Name105   5.72                5.80               kietiakas   
Surname106   Name106   4.28                4.60               vargsiukas  
Surname107   Name107   2.48                2.40               vargsiukas  
Surname108   Name108   7.00                6.20               kietiakas   
Surname109   Name109   2.96                2.40               vargsiukas  
Surname11    Name11    6.52                7.00               kietiakas   
Surname110   Name110   4.68                5.40               vargsiukas  
Surname111   Name111   4.76                5.00               vargsiukas  
Surname112   Name112   3.36                3.20               vargsiukas  
Surname113   Name113   6.96                7.20               kietiakas   
Surname114   Name114   7.92                7.20               kietiakas   
Surname115   Name115   1.80                1.00               vargsiukas  
Surname116   Name116   5.12                4.80               kietiakas   
Surname117   Name117   4.40                4.40               vargsiukas  
Surname118   Name118   4.08                4.40               vargsiukas  
Surname119   Name119   7.48                7.80               kietiakas   
Surname12    Name12    7.64                8.20               kietiakas   
Surname120   Name120   3.84                4.00               vargsiukas  
Surname121   Name121   6.24                5.60               kietiakas   
Surname122   Name122   4.40                4.80               vargsiukas  
Surname123   Name123   6.60                6.60               kietiakas   
Surname124   Name124   5.32                5.80               kietiakas   
Surname125   Name125   7.76                7.60               kietiakas   
Surname126   Name126   5.08                5.00               kietiakas   
Surname127   Name127   7.36                7.60               kietiakas   
Surname128   Name128   4.08                4.00               vargsiukas  
Surname129   Name129   1.96                1.80               vargsiukas  
Surname13    Name13    4.76                4.60               vargsiukas  
Surname130   Name130   5.48                5.40               kietiakas   
Surname131   Name131   7.88                8.20               kietiakas   
Surname132   Name132   7.36                6.40               kietiakas   
Surname133   Name133   5.68                5.60               kietiakas   
Surname134   Name134   4.36                4.20               vargsiukas  
Surname135   Name135   7.60                7.20               kietiakas   
Surname136   Name136   7.88                8.20               kietiakas   
Surname137   Name137   7.60                7.60               kietiakas   
Surname138   Name138   5.84                6.00               kietiakas   
Surname139   Name139   4.04                3.40               vargsiukas  
Surname14    Name14    6.04                6.20               kietiakas   
Surname140   Name140   3.92                4.00               vargsiukas  
Surname141   Name141   4.88                4.40               vargsiukas  
Surname142   Name142   5.96                6.20               kietiakas   
Surname143   Name143   8.12                7.80               kietiakas   
Surname144   Name144   4.04                4.60               vargsiukas  
Surname145   Name145   4.12                4.20               vargsiukas  
Surname146   Name146   3.60                3.60               vargsiukas  
Surname147   Name147   2.80                2.40               vargsiukas  
Surname148   Name148   4.68                4.60               vargsiukas  
Surname149   Name149   6.08                6.00               kietiakas   
Surname15    Name15    7.20                7.20               kietiakas   
Surname150   Name150   3.48                3.40               vargsiukas  
Surname151   Name151   5.44                5.20               kietiakas   
Surname152   Name152   7.52                7.20               kietiakas   
Surname153   Name153   7.20                7.20               kietiakas   
Surname154   Name154   8.56                8.40               kietiakas   
Surname155   Name155   6.24                7.60               kietiakas   
Surname156   Name156   3.20                3.20               vargsiukas  
Surname157   Name157   6.68                6.60               kietiakas   
Surname158   Name158   3.84                3.60               vargsiukas  
Surname159   Name159   6.20                6.20               kietiakas   
Surname16    Name16    4.24                4.40               vargsiukas  
Surname160   Name160   7.28                7.60               kietiakas   
Surname161   Name161   5.68                6.40               kietiakas   
Surname162   Name162   4.16                4.00               vargsiukas  
Surname163   Name163   3.24                3.40               vargsiukas  
Surname164   Name164   4.80                4.80               vargsiukas  
Surname165   Name165   5.48                5.80               kietiakas   
Surname166   Name166   7.00                7.40               kietiakas   
Surname167   Name167   3.04                2.80               vargsiukas  
Surname168   Name168   6.36                6.20               kietiakas   
