Name          Surname    Final-Average       Finale-Median      Category    
Surname1      Name1      5.92                6.00               kietiakas   
Surname10     Name10     8.76                9.00               kietiakas   
Surname100    Name100    5.92                6.40               kietiakas   
Surname1000   Name1000   7.12                7.20               kietiakas   
Name10000     Name10000  10.00               10.00              kietiakas   
Surname10000  Name10000  7.84                8.00               kietiakas   
Surname1001   Name1001   3.64                3.00               vargsiukas  
Surname1002   Name1002   2.12                2.20               vargsiukas  
Surname1003   Name1003   3.56                4.20               vargsiukas  
Surname1004   Name1004   5.80                5.40               kietiakas   
Surname1005   Name1005   6.88                6.80               kietiakas   
Surname1006   Name1006   4.04                4.20               vargsiukas  
Surname1007   Name1007   8.32                8.00               kietiakas   
Surname1008   Name1008   6.92                7.40               kietiakas   
Surname1009   Name1009   7.32                7.40               kietiakas   
Surname101    Name101    5.76                6.00               kietiakas   
Surname1010   Name1010   9.12                10.00              kietiakas   
Surname1011   Name1011   2.96                2.00               vargsiukas  
Surname1012   Name1012   6.04                5.40               kietiakas   
Surname1013   Name1013   4.20                4.20               vargsiukas  
Surname1014   Name1014   6.92                7.40               kietiakas   
Surname1015   Name1015   5.44                5.20               kietiakas   
Surname1016   Name1016   6.12                5.80               kietiakas   
Surname1017   Name1017   3.88                3.80               vargsiukas  
Surname1018   Name1018   3.16                3.00               vargsiukas  
Surname1019   Name1019   7.80                8.20               kietiakas   
Surname102    Name102    6.88                6.80               kietiakas   
Surname1020   Name1020   4.76                5.00               vargsiukas  
Surname1021   Name1021   5.36                4.80               kietiakas   
Surname1022   Name1022   5.40                5.40               kietiakas   
Surname1023   Name1023   5.52                6.00               kietiakas   
Surname1024   Name1024   5.56                6.20               kietiakas   
Surname1025   Name1025   4.60                5.00               vargsiukas  
Surname1026   Name1026   7.32                7.00               kietiakas   
Surname1027   Name1027   4.64                4.40               vargsiukas  
Surname1028   Name1028   8.24                7.60               kietiakas   
Surname1029   Name1029   7.48                7.80               kietiakas   
Surname103    Name103    7.72                8.20               kietiakas   
Surname1030   Name1030   6.80                6.40               kietiakas   
Surname1031   Name1031   2.68                2.60               vargsiukas  
Surname1032   Name1032   3.56                3.80               vargsiukas  
Surname1033   Name1033   6.08                6.00               kietiakas   
Surname1034   Name1034   4.60                5.40               vargsiukas  
Surname1035   Name1035   3.80                3.80               vargsiukas  
Surname1036   Name1036   2.52                2.20               vargsiukas  
Surname1037   Name1037   3.40                3.40               vargsiukas  
Surname1038   Name1038   3.68                3.60               vargsiukas  
Surname1039   Name1039   3.32                3.00               vargsiukas  
Surname104    Name104    3.12                3.20               vargsiukas  
Surname1040   Name1040   7.88                7.80               kietiakas   
Surname1041   Name1041   7.44                8.80               kietiakas   
Surname1042   Name1042   4.32                4.40               vargsiukas  
Surname1043   Name1043   4.56                4.40               vargsiukas  
Surname1044   Name1044   4.52                4.60               vargsiukas  
Surname1045   Name1045   2.52                1.80               vargsiukas  
Surname1046   Name1046   3.92                3.60               vargsiukas  
Surname1047   Name1047   4.44                5.00               vargsiukas  
Surname1048   Name1048   4.84                5.00               vargsiukas  
Surname1049   Name1049   7.16                7.40               kietiakas   
Surname105    Name105    5.72                5.80               kietiakas   
Surname1050   Name1050   4.56                4.00               vargsiukas  
Surname1051   Name1051   2.52                2.60               vargsiukas  
Surname1052   Name1052   8.00                8.00               kietiakas   
Surname1053   Name1053   2.60                2.20               vargsiukas  
Surname1054   Name1054   7.36                7.20               kietiakas   
Surname1055   Name1055   2.92                2.60               vargsiukas  
Surname1056   Name1056   6.04                5.80               kietiakas   
Surname1057   Name1057   4.88                4.80               vargsiukas  
Surname1058   Name1058   3.68                4.00               vargsiukas  
Surname1059   Name1059   4.64                4.00               vargsiukas  
Surname106    Name106    4.28                4.60               vargsiukas  
Surname1060   Name1060   3.88                3.80               vargsiukas  
Surname1061   Name1061   7.56                7.80               kietiakas   
